Direction,District,Elevator,Floor,Id,Layout,Price,Region,Renovation,Size,Year
,外光华,有,中楼层 (共11层),106101329532,1室1厅,89,南,其他,62.43㎡,2009年建
,中德,有,中楼层 (共33层),106101326673,3室2厅,210,北,其他,88.23㎡,2015年建
,草市街,有,低楼层 (共9层),106101325709,2室2厅,155,南,其他,103.85㎡,2005年建
,万年场,无,高楼层 (共6层),106101324541,4室1厅,157,南,简装,112.12㎡,2005年建
,远大,有,高楼层 (共33层),106101315817,2室1厅,163,西北,其他,75.02㎡,2010年建
,新双楠,有,中楼层 (共17层),106101313809,4室2厅,372,东北,其他,139㎡,2012年建
,新北,有,低楼层 (共22层),106101316126,2室2厅,138,西,精装,79.45㎡,2016年建
,成渝立交,有,低楼层 (共34层),106101318717,3室2厅,180,南 北,精装,82.39㎡,2012年建
,八里小区,有,中楼层 (共27层),106101309610,2室2厅,170,东南,简装,88.54㎡,2010年建
,光华大道沿线,有,高楼层 (共34层),106101311150,2室2厅,110,西,精装,82.76㎡,2014年建
,东升镇,有,低楼层 (共11层),106101305379,3室2厅,120,南,精装,116.34㎡,2005年建
,猛追湾,无,高楼层 (共7层),106101302983,2室2厅,115,东南,其他,78.83㎡,1996年建
,SM广场,有,高楼层 (共33层),106101295751,2室1厅,100,南,其他,64.31㎡,2010年建
,洪河,无,低楼层 (共6层),106101302344,2室2厅,120,东南,简装,84.75㎡,2003年建
,大面,无,高楼层 (共6层),106101213383,3室2厅,205,东北,毛坯,110.36㎡,2013年建
,中海国际,有,中楼层 (共17层),106101300591,3室2厅,220,南,其他,128.85㎡,2007年建
,新会展,有,低楼层 (共49层),106101448066,3室2厅,350,东,其他,146.77㎡,2017年建
,大源,有,中楼层 (共27层),106101300905,3室1厅,280,东,其他,98.96㎡,2013年建
,大丰,有,中楼层 (共29层),106101447273,3室1厅,130,东,其他,82.97㎡,2015年建
,大丰,暂无数据,低楼层 (共34层),106101437345,4室2厅,138,南,其他,122.9㎡,未知年建
,洪河,有,低楼层 (共34层),106101435698,2室1厅,115,南 西北,毛坯,89.69㎡,2009年建
,温江老城,无,中楼层 (共5层),106101427762,2室1厅,63,东南,其他,57.83㎡,2007年建
,大面,无,高楼层 (共7层),106101425252,3室2厅,145,东南,其他,131.5㎡,2006年建
,温江大学城,有,低楼层 (共11层),106101433368,4室2厅,180,东南,其他,160.63㎡,2013年建
,华侨城,无,中楼层 (共7层),106101422932,2室2厅,78,北,其他,64.2㎡,未知年建
,航空港,有,高楼层 (共10层),106101427523,3室2厅,185,东南,其他,142.98㎡,2013年建
,花都大道,无,中楼层 (共5层),106101421319,4室2厅,185,西南,其他,153.44㎡,2008年建
,卓锦城,无,低楼层 (共6层),106101420439,3室2厅,225,东南,毛坯,123.88㎡,2006年建
,玉林,暂无数据,中楼层 (共6层),106101419720,3室1厅,156,东南,其他,97.82㎡,未知年建
,高新西,有,低楼层 (共27层),106101410311,3室2厅,96,东南,其他,89.02㎡,2008年建
,大丰,有,高楼层 (共29层),106101404835,2室2厅,91,东南,其他,59.5㎡,2013年建
,花都大道,无,中楼层 (共6层),106101407026,3室1厅,180,南,毛坯,121.05㎡,2012年建
,金融城,有,低楼层 (共16层),106101407376,4室1厅,790,南 北,其他,203㎡,2008年建
,温江新城,有,中楼层 (共32层),106101405607,3室2厅,135,西南,其他,82.2㎡,2016年建
,外金沙,有,低楼层 (共20层),106101396528,2室2厅,180,东,其他,89.76㎡,2012年建
,大面,有,高楼层 (共34层),106101394574,3室2厅,125,北,其他,89.94㎡,2015年建
,天府长城,有,高楼层 (共30层),106101385565,4室2厅,780,南,其他,274.75㎡,2011年建
,簇桥,有,中楼层 (共13层),106101373764,4室2厅,245,南 北,其他,125.65㎡,2012年建
,新都城区,有,高楼层 (共17层),106101370319,3室2厅,142,南,其他,109.26㎡,2008年建
,郫县城区,有,高楼层 (共30层),106101367884,3室2厅,105,西南,其他,93.76㎡,2013年建
,一品天下,有,低楼层 (共32层),106101364325,2室2厅,210,南,其他,85.61㎡,2008年建
,航空港,有,中楼层 (共23层),106101362961,2室1厅,115,南,其他,79.29㎡,2009年建
,大丰,暂无数据,高楼层 (共34层),106101362591,3室2厅,115,东,其他,101.68㎡,2015年建
,新会展,有,高楼层 (共29层),106101362294,2室1厅,210,南,毛坯,85.31㎡,2014年建
,驷马桥,有,高楼层 (共21层),106101358961,2室1厅,128,西,其他,72.81㎡,2016年建
,沙湾,无,中楼层 (共7层),106101359262,3室1厅,160,东南,其他,130.1㎡,2000年建
,华阳,无,低楼层 (共6层),106100925226,3室2厅,170,东南,其他,126.31㎡,2003年建
,建设路,有,中楼层 (共33层),106100964737,2室2厅,173,南,其他,89㎡,2009年建
,光华大道沿线,有,中楼层 (共6层),106100943586,3室2厅,211,北,精装,137.95㎡,2011年建
,李家沱,无,中楼层 (共7层),106100896754,3室2厅,175,西北,其他,124.49㎡,1999年建
,万象城,有,高楼层 (共33层),106100884114,3室2厅,156,西南,其他,86.42㎡,2008年建
,SM广场,有,低楼层 (共29层),106100872139,2室1厅,98,东,精装,47.3㎡,2010年建
,海洋公园,有,低楼层 (共26层),106100841845,4室2厅,225,南 西南,精装,132.9㎡,2007年建
,八宝街,暂无数据,高楼层 (共7层),106100837626,3室2厅,147,北,其他,81.99㎡,2000年建
,温江新城,有,中楼层 (共33层),106100815503,3室1厅,138,东南,其他,89㎡,2010年建
,草市街,有,低楼层 (共34层),106100803315,2室2厅,170,南,其他,86.46㎡,2010年建
,洪河,有,低楼层 (共11层),106100772748,3室2厅,168,东,精装,93.49㎡,2015年建
,合江亭,有,中楼层 (共32层),106100772749,3室2厅,330,南,其他,118.5㎡,2009年建
,蛟龙港,暂无数据,低楼层 (共11层),106100526831,3室2厅,145,东北,毛坯,107.56㎡,2015年建
,红牌楼,有,低楼层 (共13层),106100588018,2室2厅,145,南,精装,88.92㎡,2009年建
